what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359313616426
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359313616625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359313647475
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359313649514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359313649531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359313650390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359313650640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359313652301
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359313657269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359313657461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359313665686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359316226728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359316232582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379055107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379236874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379345207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379350806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379350928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379363428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379364236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359379386179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359379387940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359379463144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359379465019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359379594889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359379597273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379723795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379797969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379814167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359379818677
