what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361644140313
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361644142051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644142057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644143097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644143382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644150017
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361644157299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361644172740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361644179471
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361644181234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644181241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644181896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644182125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361644192159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361644193802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361644254943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361644257019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361644262452
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361644265414
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361644267008
